,number,start_col,start_row,end_col,end_row,clue,"answer (optional column, for checking only)",number_direction,length,answer_certainty,answer_list,placed_answer,coordinate_set,Top_Predicted_Classes
114,83,10,12,10,15,Home of Nobel Peace Prize winner Shirin Ebadi,IRAN,83-Down,4,,[],,"{(10, 15), (10, 12), (10, 13), (10, 14)}","[('Find name given profession/reference', 0.42), ('Roman numeral', 0.32), ('Foreign language', 0.12)]"
115,84,11,12,11,15,Spilled the tea,TOLD,84-Down,4,,[],,"{(11, 12), (11, 13), (11, 14), (11, 15)}","[('Roman numeral', 0.33282322863403946), ('Straight definition', 0.19), ('Foreign language', 0.18717677136596056)]"
116,86,16,12,16,14,"""Listen!,"" in León",OYE,86-Down,3,,[],,"{(16, 13), (16, 14), (16, 12)}","[('Roman numeral', 0.34), ('Foreign language', 0.31), ('Find name given profession/reference', 0.1)]"
117,89,6,13,6,16,Cherry and peach,HUES,89-Down,4,,[],,"{(6, 13), (6, 14), (6, 15), (6, 16)}","[('Find name given profession/reference', 0.37), ('Find first name given last name', 0.21), ('Straight definition', 0.14)]"
118,90,12,13,12,18,Combined,MERGED,90-Down,6,,[],,"{(12, 17), (12, 16), (12, 13), (12, 15), (12, 18), (12, 14)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
119,92,19,13,19,17,"""Uh-oh!""",YIKES,92-Down,5,,[],,"{(19, 14), (19, 17), (19, 16), (19, 13), (19, 15)}","[('Quote phrase to word', 0.8032575214625258), ('Short phrase colloquial synonym', 0.18674247853747428)]"
120,93,20,13,20,17,Turn inside out,EVERT,93-Down,5,,[],,"{(20, 14), (20, 17), (20, 13), (20, 16), (20, 15)}","[('Roman numeral', 0.19282322863403945), ('Straight definition', 0.19), ('Find name given profession/reference', 0.18)]"
121,94,3,14,3,20,"Of whom Celine Dion said ""If God would have a singing voice, he must sound a lot like …""",BOCELLI,94-Down,7,,[],,"{(3, 14), (3, 17), (3, 20), (3, 16), (3, 19), (3, 18), (3, 15)}","[('Find name given profession/reference', 0.23), ('Roman numeral', 0.18), ('Full name of speaker given quote', 0.09)]"
122,96,14,14,14,16,"___ Schneider, winningest woman in ""Jeopardy!"" history",AMY,96-Down,3,,[],,"{(14, 14), (14, 15), (14, 16)}","[('Proper noun fill in the blank', 0.51), ('Foreign language fill in the blank', 0.23), ('Quote fill in the blank', 0.09)]"
123,98,0,15,0,17,"""___ the economy, stupid!""",ITS,98-Down,3,,[],,"{(0, 15), (0, 16), (0, 17)}","[('Quote fill in the blank', 0.6019785138764547), ('Basic fill in the blank', 0.22802148612354523), ('Foreign language fill in the blank', 0.08)]"
124,99,1,15,1,19,Got together in,METAT,99-Down,5,,[],,"{(1, 18), (1, 15), (1, 17), (1, 16), (1, 19)}","[('Foreign language', 0.5271767713659605), ('Roman numeral', 0.12282322863403944), ('Find name given profession/reference', 0.11)]"
125,100,2,15,2,20,White as a sheet,PALLID,100-Down,6,,[],,"{(2, 17), (2, 20), (2, 16), (2, 19), (2, 18), (2, 15)}","[('Straight definition', 0.38), ('Roman numeral', 0.34), ('Foreign language', 0.06)]"
126,101,7,15,7,18,Paul who was People magazine's 2021 Sexiest Man Alive,RUDD,101-Down,4,,[],,"{(7, 15), (7, 16), (7, 17), (7, 18)}","[('Find name given profession/reference', 0.62), ('Roman numeral', 0.23), ('Pun indicated by question mark', 0.04)]"
127,102,8,15,8,19,Tremendous success,SMASH,102-Down,5,,[],,"{(8, 17), (8, 16), (8, 19), (8, 18), (8, 15)}","[('Colloquial translation of phrase', 0.42774040277823133), ('Example of a class', 0.23717954859427937), ('Straight definition', 0.14903953200781758)]"
128,103,9,15,9,20,Squawked in pain,YOWLED,103-Down,6,,[],,"{(9, 16), (9, 19), (9, 15), (9, 18), (9, 17), (9, 20)}","[('Foreign language', 0.3271767713659605), ('Straight definition', 0.31575757575757574), ('Acronym/short form answer', 0.13)]"
129,104,13,15,13,20,Coup result,OUSTER,104-Down,6,,[],,"{(13, 17), (13, 20), (13, 16), (13, 19), (13, 18), (13, 15)}","[('Roman numeral', 0.42243724522975934), ('Foreign language', 0.21756275477024067), ('Acronym/short form answer', 0.18)]"
130,105,17,15,17,20,"Member of Gen Z, jocularly",ZOOMER,105-Down,6,,[],,"{(17, 17), (17, 20), (17, 16), (17, 19), (17, 15), (17, 18)}","[('Roman numeral', 0.25), ('Find name given profession/reference', 0.17), ('Clever synonyms and examples', 0.16)]"
131,109,16,16,16,20,"Busy businesswoman in a rom-com, e.g.",TROPE,109-Down,5,,[],,"{(16, 20), (16, 16), (16, 19), (16, 18), (16, 17)}","[('Clever synonyms and exampless and examples', 0.88), ('Roman numeral', 0.05), ('Proper noun fill in the blank', 0.04)]"
132,112,10,17,10,20,Loved,DEAR,112-Down,4,,[],,"{(10, 17), (10, 18), (10, 19), (10, 20)}","[('One word synonym', 1.0)]"
133,113,11,17,11,20,"Title on Netflix's ""Bridgerton""",LADY,113-Down,4,,[],,"{(11, 18), (11, 19), (11, 20), (11, 17)}","[('Acronym/short form answer', 0.45), ('Find name given profession/reference', 0.17), ('Encyclopedia lookup', 0.13)]"
134,114,15,17,15,20,Univ. V.I.P.,PROF,114-Down,4,,[],,"{(15, 17), (15, 18), (15, 19), (15, 20)}","[('Find name given profession/reference', 0.36), ('Acronym/short form answer', 0.19), ('Clever synonyms and exampless and examples', 0.17)]"
135,116,5,18,5,20,"Any of the Uruk-hai in ""The Lord of the Rings""",ORC,116-Down,3,,[],,"{(5, 20), (5, 18), (5, 19)}","[('Find name given profession/reference', 0.39), ('Roman numeral', 0.11), ('Acronym/short form answer', 0.08)]"
136,117,6,18,6,20,Word with half or hard,ASS,117-Down,3,,[],,"{(6, 18), (6, 19), (6, 20)}","[('Foreign language', 0.39), ('Roman numeral', 0.24), ('Find name given profession/reference', 0.09)]"
137,118,14,18,14,20,Fútbol cry,OLE,118-Down,3,,[],,"{(14, 18), (14, 19), (14, 20)}","[('Roman numeral', 0.48), ('Acronym/short form answer', 0.14), ('Straight definition', 0.13)]"
