ID,Clue,Word,Class,TranslationStatus
,French chess piece,ROI,Foreign language,True
,French king,ROI,Foreign language,True
,French pooh-bah,ROI,Foreign language,True
,French kings,ROIS,Foreign language,True
,Color in a Spanish sunset,ROJO,Foreign language,True
,Spanish Steps city,ROME,Foreign language,True
,Spanish flower,ROSA,Foreign language,True
,Some Spanish flowers,ROSAS,Foreign language,False
,Spanish seasoning that's a letter short of its English counterpart,SAL,Foreign language,True
,Spanish seasoning,SAL,Foreign language,True
,Spanish parlor,SALA,Foreign language,True
,Spanish hotel reservation,SALA,Foreign language,True
,Spanish toast,SALUD,Foreign language,True
,Spanish wine beverage,SANGRIA,Foreign language,True
,Italian apologies,SCUSE,Foreign language,True
,Italian apology,SCUSI,Foreign language,True
,Spanish 3 + 3,SEIS,Foreign language,True
,Number of strings on a Spanish guitar,SEIS,Foreign language,True
,Spanish cardinal,SEIS,Foreign language,True
,Spanish half-dozen,SEIS,Foreign language,True
,"French for ""salt""",SEL,Foreign language,True
,"Partner of poivre, in French seasoning",SEL,Foreign language,True
,French seasoning,SEL,Foreign language,True
,French shaker contents,SEL,Foreign language,True
,French preservative,SEL,Foreign language,True
,French cooking staple,SEL,Foreign language,True
,Spanish weeks,SEMANAS,Foreign language,True
,Spanish gent,SENOR,Foreign language,True
,Half of a Spanish union,SENORA,Foreign language,True
,Some Spanish titles,SENORS,Foreign language,False
,Spanish gents,SENORS,Foreign language,True
,Spanish 101 verb,SER,Foreign language,True
,"To be, in Spanish",SER,Foreign language,True
,Spanish irregular verb,SER,Foreign language,True
,French possessive,SES,Foreign language,True
,"German ""you""",SIE,Foreign language,True
,Spanish dice roll,SIETE,Foreign language,True
,Enthusiastic Spanish assent,SISI,Foreign language,False
,Enthusiastic assent in Spanish,SISI,Foreign language,True
,Spanish title: Abbr.,SRA,Foreign language,True
,Spanish 23-Across: Abbr.,SRA,Foreign language,True
,Spanish Mrs.,SRA,Foreign language,True
,Spanish ladies: Abbr.,SRAS,Foreign language,True
,Spanish title: Abbr.,SRTA,Foreign language,True
,Spanish miss: Abbr.,SRTA,Foreign language,True
,Spanish counterpart of a mlle.,SRTA,Foreign language,True
,Spanish Mlle.,SRTA,Foreign language,True
,Spanish girl: Abbr.,SRTA,Foreign language,True
,Spanish counterparts of mlles.,SRTAS,Foreign language,True
,Spanish misses: Abbr.,SRTAS,Foreign language,True
,"Spanish for ""south""",SUR,Foreign language,True
,Spanish direction,SUR,Foreign language,True
,"Spanish ""south""",SUR,Foreign language,True
,French aunt,TANTE,Foreign language,True
,French relation,TANTE,Foreign language,True
,Spanish appetizer,TAPA,Foreign language,True
,Spanish snack,TAPA,Foreign language,True
,Tidbit at a Spanish bar,TAPA,Foreign language,True
,Spanish tidbit,TAPA,Foreign language,True
,Spanish morsel,TAPA,Foreign language,True
,Spanish hors d'oeuvre,TAPA,Foreign language,True
,Spanish food served on small plates,TAPAS,Foreign language,True
,Spanish starters,TAPAS,Foreign language,True
,Snacks at a Spanish bar,TAPAS,Foreign language,True
,Spanish finger food,TAPAS,Foreign language,True
,Spanish appetizers,TAPAS,Foreign language,True
,Finger food at a Spanish restaurant,TAPAS,Foreign language,True
,Spanish snacks,TAPAS,Foreign language,True
,French pastry,TARTE,Foreign language,True
,"French for ""cup""",TASSE,Foreign language,True
,French cup,TASSE,Foreign language,True
,"Spanish ""I love you""",TEAMO,Foreign language,True
,Words to a Spanish sweetheart,TEAMO,Foreign language,True
,Words on a Spanish valentine,TEAMO,Foreign language,True
,"""I love you,"" in Spanish",TEAMO,Foreign language,True
,Spanish ring maker,TELEFONO,Foreign language,True
,Spanish subjects,TEMAS,Foreign language,True
,French possessive,TES,Foreign language,True
,French pronoun,TES,Foreign language,True
,French head,TETE,Foreign language,True
,French heads,TETES,Foreign language,True
,Spanish aunt,TIA,Foreign language,True
,Spanish relative,TIA,Foreign language,True
,Some Spanish babysitters,TIAS,Foreign language,False
,Spanish aunts,TIAS,Foreign language,True
,Land at a Spanish airport?,TIERRA,Foreign language,True
,Spanish accent,TILDE,Foreign language,True
,High mark in Spanish class?,TILDE,Foreign language,True
,Spanish squiggle,TILDE,Foreign language,True
,Spanish diacritical marks,TILDES,Foreign language,True
,Marks gotten in Spanish class?,TILDES,Foreign language,True
,Marks in Spanish class,TILDES,Foreign language,True
,Deep red Spanish wine,TINTO,Foreign language,False
,Spanish uncle,TIO,Foreign language,True
,Spanish uncles,TIOS,Foreign language,True
,French 101 pronoun,TOI,Foreign language,True
,French pronoun,TOI,Foreign language,True
,"French ""you""",TOI,Foreign language,True
,French friend's pronoun,TOI,Foreign language,True
,Old Spanish swords,TOLEDOS,Foreign language,False
,"15-Across, in Spanish",TORO,Foreign language,True
,Spanish bull,TORO,Foreign language,True
,Spanish bulls,TOROS,Foreign language,True
,Spanish constructions,TORRES,Foreign language,True
,Battlements in Spanish castles,TORRES,Foreign language,True
,Italian III,TRE,Foreign language,True
,101 word in both Spanish and French,TRES,Foreign language,True
,"French 101 word or, with a different meaning, Spanish 101 word",TRES,Foreign language,True
,Figure of a Spanish count?,TRES,Foreign language,True
,A Spanish crowd?,TRES,Foreign language,False
,Spanish crowd?,TRES,Foreign language,True
,Fountain near the Spanish Steps,TREVI,Foreign language,False
,"Sad, in French or Spanish",TRISTE,Foreign language,True
,Italian article,UNA,Foreign language,True
,"Italian ""a""",UNA,Foreign language,True
,Spanish article,UNA,Foreign language,True
,"A, in Spanish",UNA,Foreign language,True
,"Spanish ""a""",UNA,Foreign language,True
,Italian articles,UNAS,Foreign language,True
,French article,UNE,Foreign language,True
,"French ""a""",UNE,Foreign language,True
,French one,UNE,Foreign language,True
,French singles,UNES,Foreign language,True
,"French ""some,"" with ""les""",UNES,Foreign language,True
,French individuals,UNES,Foreign language,True
,French articles,UNES,Foreign language,True
,Start for a Spanish count,UNO,Foreign language,True
,Introduction to a Spanish count?,UNO,Foreign language,True
,Spanish 30-Down,UNO,Foreign language,True
,Spanish count starter,UNO,Foreign language,True
,Start of a Spanish count,UNO,Foreign language,True
,75-Down Spanish-style,UNO,Foreign language,False
,One of the Spanish,UNO,Foreign language,False
,Spanish article,UNO,Foreign language,True
,Start of a Spanish count,UNODOS,Foreign language,True
,"With 9-Down, Spanish leaders?",UNODOS,Foreign language,False
,"Spanish for ""some""",UNOS,Foreign language,True
,Spanish ones,UNOS,Foreign language,True
,Spanish articles,UNOS,Foreign language,True
,Italian man,UOMO,Foreign language,True
,"Spanish counterpart of the French ""vous""",USTED,Foreign language,True
,"""Let's go!,"" in Spanish",VAMOS,Foreign language,True
,Italian wine,VINO,Foreign language,True
,Italian wines,VINOS,Foreign language,True
,Spanish valentine sentiment,YOTEAMO,Foreign language,True
,"Spanish for ""fox""",ZORRO,Foreign language,True
